loan_id,P3v3,P4v3,anchor_v3,day_v3,multi_v3,batch_v3
B110713-22,1,1,,,,13
B110714-1,1,1,,,,13
B110715-1,1,2,,,,13
B110717-1,1,1,,,,13
B110719-12,1,1,,,,13
B110719-15,4,1,income,26.0,False,13
B110721-10,1,1,,,,13
B110721-2,1,2,,,,14
B110726-13,1,2,,,,14
B110726-16,1,2,,,,14
B110726-9,2,2,,,,14
B110727-12,1,1,,,,14
B110727-23,1,2,,,,14
B110727-24,4,2,income,25.0,False,14
B110727-9,3,3,,,,14
B110728-2,1,2,,,,14
B110728-5,1,2,,,,14
B110803-10,2,1,,,,14
B110803-12,1,1,,,,14
B110803-3,1,1,,,,14
B110803-6,1,2,,,,14
B110808-13,4,3,income,,False,14
B110808-6,1,1,,,,14
B110809-3,1,1,,,,14
B110810-1,1,2,,,,14
B110810-8,1,2,,,,14
B110811-11,1,2,,,,14
B110811-13,2,2,,,,14
B110811-20,1,2,,,,14
B110815-1,1,1,,,,14
B110816-13,1,1,,,,14
B110818-3,1,3,,,,14
B110818-7,1,1,,,,14
B110819-12,1,2,,,,14
B110819-5,1,2,,,,14
B110821-2,1,1,,,,14
B110822-13,1,3,,,,14
B110824-10,1,3,,,,14
B110824-7,1,1,,,,14
B110826-1,2,2,,,,14
B110827-6,2,5,,,,14
B110828-3,3,2,,,,14
B110829-7,1,1,,,,14
B110830-14,1,2,,,,14
B110901-10,1,2,,,,14
B110901-11,1,1,,,,14
B110905-9,4,2,income,,False,14
B110906-11,1,1,,,,14
B110906-12,1,1,,,,14
B110906-16,2,2,,,,14
B110909-9,1,1,,,,14
B110914-13,1,1,,,,14
B110914-5,2,2,,,,14
B110915-19,1,1,,,,14
B110918-2,3,3,,,,14
B110918-4,4,1,income,,False,14
B110920-5,2,2,,,,14
B110921-11,1,2,,,,14
B110921-7,1,2,,,,14
B110922-6,1,2,,,,14
B110923-8,1,1,,,,14
B110926-10,1,1,,,,14
B110926-5,1,2,,,,14
B110926-9,1,1,,,,14
B110927-13,4,1,income,,False,14
B110927-16,1,2,,,,14
B110929-16,1,2,,,,14
B110929-2,1,2,,,,14
B111004-17,1,4,,,,14
B111004-18,3,3,,,,14
B111005-16,1,2,,,,14
B111005-17,1,2,,,,14
B111005-21,4,1,income,,False,14
B111007-17,1,2,,,,14
B111009-4,2,1,,,,14
B111010-1,1,2,,,,14
B111010-7,1,2,,,,14
B111011-8,1,1,,,,15
B111013-19,1,3,,,,15
B111013-5,1,1,,,,15
B111014-11,1,2,,,,15
B111014-7,1,4,,,,15
B111014-9,4,1,income,5.0,False,15
B111017-15,3,1,,,,15
B111017-4,1,1,,,,15
B111019-11,1,1,,,,15
B111019-2,1,1,,,,15
B111019-5,1,1,,,,15
B111020-10,1,2,,,,15
B111020-8,1,1,,,,15
B111024-9,1,2,,,,15
B111025-15,5,1,income,,True,15
B111026-23,1,3,,,,15
B111027-11,1,1,,,,15
B111028-2,1,1,,,,15
B111031-3,1,3,,,,15
B111101-10,3,3,,,,15
B111101-20,1,1,,,,15
B111102-8,3,5,,,,15
B111103-22,1,1,,,,15
B111103-26,1,1,,,,15
B111107-14,1,1,,,,15
B111108-1,1,2,,,,15
B111108-3,3,1,,,,15
B111111-3,1,1,,,,15
B111111-6,3,1,,,,15
B111116-14,1,2,,,,15
B111116-26,3,2,,,,15
B111116-8,3,1,,,,15
B111121-26,1,1,,,,15
B111123-15,1,2,,,,15
B111124-4,1,2,,,,15
B111125-3,1,1,,,,15
B111126-2,1,2,,,,15
B111127-1,1,1,,,,15
B111201-29,1,1,,,,15
B111205-14,2,1,,,,15
B111205-22,1,2,,,,15
B111205-25,2,1,,,,15
B111205-7,1,1,,,,15
B111207-18,1,2,,,,15
B111209-11,1,1,,,,15
B111209-9,1,1,,,,15
B111212-2,1,1,,,,15
B111214-13,1,1,,,,15
B111214-6,3,2,,,,15
B111216-10,1,1,,,,15
B111218-5,1,1,,,,15
B111221-1,1,1,,,,15
B111222-9,2,1,,,,15
B111223-12,4,1,event,,False,15
B111223-3,1,1,,,,15
B111227-8,1,1,,,,15
B111228-12,1,1,,,,15
B120102-11,1,3,,,,15
B120103-10,1,1,,,,15
B120103-8,1,1,,,,15
B120105-7,3,1,,,,15
B120106-7,1,1,,,,15
B120106-8,3,1,,,,15
B120109-19,4,2,event,,False,15
B120109-7,1,1,,,,15
B120109-8,1,1,,,,15
B120111-17,1,1,,,,15
B120113-8,1,2,,,,15
B120116-5,1,2,,,,15
B120118-4,1,4,,,,15
B120118-5,1,1,,,,16
B120125-14,2,1,,,,16
B120125-19,1,4,,,,16
B120126-1,2,2,,,,16
B120126-13,3,2,,,,16
B120129-2,1,2,,,,16
B120129-5,1,1,,,,16
B120130-15,1,1,,,,16
B120201-22,1,1,,,,16
B120201-4,2,1,,,,16
B120205-5,4,1,income,20.0,False,16
B120207-10,3,2,,,,16
B120208-3,1,1,,,,16
B120209-22,1,2,,,,16
B120213-21,1,1,,,,16
B120213-6,3,5,,,,16
B120216-11,1,1,,,,16
B120217-1,2,2,,,,16
B120219-4,1,1,,,,16
B120220-11,1,1,,,,16
B120220-26,1,2,,,,16
B120221-18,3,1,,,,16
B120221-5,1,1,,,,16
B120224-17,2,4,,,,16
B120225-6,2,1,,,,16
B120227-19,1,2,,,,16
B120227-7,1,2,,,,16
B120227-8,3,1,,,,16
B120229-8,1,2,,,,16
B120304-2,1,2,,,,16
B120304-3,1,1,,,,16
B120305-17,1,3,,,,16
B120306-6,2,2,,,,16
B120307-6,2,1,,,,16
B120309-16,1,2,,,,16
B120309-19,2,1,,,,16
B120309-21,1,1,,,,16
B120309-22,1,1,,,,16
B120311-5,1,2,,,,16
B120312-12,3,2,,,,16
B120312-15,1,1,,,,16
B120313-16,1,1,,,,16
B120313-27,1,2,,,,16
B120313-29,1,1,,,,16
B120313-4,1,2,,,,16
B120314-21,1,1,,,,16
B120314-3,1,1,,,,16
B120315-11,1,2,,,,16
B120317-6,1,1,,,,16
B120319-5,4,1,income,,False,16
B120320-25,1,1,,,,16
B120322-19,1,1,,,,16
B120322-32,4,1,calendar,15.0,False,16
B120323-17,3,1,,,,16
B120324-4,1,1,,,,16
B120326-9,1,1,,,,16
B120328-12,1,1,,,,16
B120328-15,1,2,,,,16
B120328-18,1,2,,,,16
B120329-12,1,1,,,,16
B120329-19,3,2,,,,16
B120402-12,2,2,,,,16
B120405-9,1,2,,,,16
B120407-5,3,1,,,,16
B120410-20,2,1,,,,16
B120411-1,1,2,,,,16
B120412-13,1,2,,,,16
B120413-10,1,1,,,,16
B120413-16,3,2,,,,16
B120414-1,2,2,,,,16
B120416-1,1,1,,,,17
B120418-2,4,1,income,20.0,False,17
B120418-4,4,1,calendar,,False,17
B120418-5,4,3,income,,False,17
B120424-15,1,1,,,,17
B120424-2,3,1,,,,17
B120424-25,1,1,,,,17
B120425-8,1,1,,,,17
B120429-2,1,3,,,,17
B120430-21,1,1,,,,17
B120501-10,1,1,,,,17
B120502-12,1,1,,,,17
B120505-4,1,4,,,,17
B120507-15,1,2,,,,17
B120507-4,3,1,,,,17
B120509-1,1,1,,,,17
B120510-22,1,1,,,,17
B120514-9,3,1,,,,17
B120515-11,1,2,,,,17
B120521-16,1,1,,,,17
B120523-14,1,2,,,,17
B120524-14,1,1,,,,17
B120524-16,1,1,,,,17
B120524-7,1,2,,,,17
B120525-7,1,1,,,,17
B120601-10,1,1,,,,17
B120605-15,1,2,,,,17
B120611-1,4,1,income,25.0,False,17
B120611-6,1,1,,,,17
B120614-2,1,1,,,,17
B120618-5,1,1,,,,17
B120619-1,1,2,,,,17
B120619-22,1,2,,,,17
B120621-9,1,1,,,,17
B120626-6,1,1,,,,17
B120627-16,4,1,income,,False,17
B120702-13,1,2,,,,17
B120702-8,4,2,income,20.0,False,17
B120703-11,1,1,,,,17
B120703-18,4,2,income,25.0,False,17
B120704-12,1,1,,,,17
B120706-6,1,1,,,,17
B120711-7,1,1,,,,17
B120712-5,1,3,,,,17
B120715-1,1,1,,,,17
B120717-8,1,1,,,,17
B120719-4,1,1,,,,17
B120723-3,1,1,,,,17
B120730-3,1,2,,,,17
B120801-3,4,5,income,15.0,False,17
B120802-2,1,1,,,,17
B120807-1,1,1,,,,17
B120808-2,1,3,,,,17
B120816-12,1,3,,,,17
B120820-3,1,1,,,,17
B120822-6,4,2,income,,False,17
B120823-4,1,1,,,,17
B120823-5,1,1,,,,17
B120827-12,1,1,,,,17
B120827-4,1,1,,,,17
B120828-8,4,1,calendar,,False,17
B120902-4,1,1,,,,17
B120903-3,1,1,,,,17
B120904-13,1,3,,,,17
B120905-4,1,1,,,,17
B120906-6,1,2,,,,17
B120907-2,1,1,,,,17
B120907-4,1,1,,,,17
B120909-2,1,1,,,,17
B120911-1,1,2,,,,17
B120918-1,2,1,,,,18
B120918-3,1,1,,,,18
B120924-11,2,1,,,,18
B120924-15,4,1,income,21.0,False,18
B120927-12,1,5,,,,18
B121002-3,1,1,,,,18
B121002-4,2,1,,,,18
B121004-9,2,1,,,,18
B121011-1,3,1,,,,18
B121014-5,3,1,,,,18
B121017-4,2,3,,,,18
B121019-13,2,1,,,,18
B121023-1,3,1,,,,18
B121027-1,5,2,income,25.0,True,18
B121030-3,4,1,calendar,27.0,False,18
B121031-2,3,1,,,,18
B121101-1,1,1,,,,18
B121104-1,4,1,income,,False,18
B121106-10,3,3,,,,18
B121107-3,1,1,,,,18
B121108-10,1,2,,,,18
B121109-11,4,2,income,21.0,False,18
B121119-7,1,1,,,,18
B121120-2,1,2,,,,18
B121122-8,1,1,,,,18
B121123-10,1,2,,,,18
B121123-6,1,1,,,,18
B121124-3,2,1,,,,18
B121128-8,1,1,,,,18
B121203-3,4,1,calendar,25.0,False,18
B121205-6,1,1,,,,18
B121206-6,2,1,,,,18
B121207-6,1,1,,,,18
B121214-11,1,1,,,,18
B121214-2,1,1,,,,18
B121216-1,1,1,,,,18
B121216-3,1,1,,,,18
B121217-5,2,1,,,,18
B121218-1,1,1,,,,18
B121221-13,1,1,,,,18
B121221-15,1,1,,,,18
B121224-21,4,2,income,,False,18
B121225-3,1,1,,,,18
B121231-6,4,1,event,,False,18
B130102-5,1,2,,,,18
B130104-3,1,3,,,,18
B130104-9,1,2,,,,18
B130106-6,1,1,,,,18
B130109-8,1,2,,,,18
B130111-19,1,2,,,,18
B130111-9,1,1,,,,18
B130114-6,4,1,income,15.0,False,18
B130117-7,4,1,income,10.0,False,18
B130121-5,2,1,,,,18
B130122-3,3,3,,,,18
B130123-8,2,3,,,,18
B130124-6,1,1,,,,18
B130125-2,1,1,,,,18
B130125-6,2,2,,,,18
B130128-1,1,1,,,,18
B130129-8,1,3,,,,18
B130130-10,4,2,income,,False,18
B130131-2,3,1,,,,18
B130203-1,2,2,,,,18
B130204-2,1,1,,,,18
B130205-2,3,4,,,,18
B130208-2,1,1,,,,18
B130212-2,1,1,,,,18
B130213-1,1,1,,,,18
B130217-2,2,1,,,,18
B130218-5,1,1,,,,19
B130218-8,4,1,income,21.0,False,19
B130218-9,1,2,,,,19
B130220-5,1,2,,,,19
B130220-6,1,1,,,,19
B130221-8,4,1,income,20.0,False,19
B130222-2,1,2,,,,19
B130224-2,2,1,,,,19
B130224-3,1,1,,,,19
B130225-2,1,1,,,,19
B130225-4,1,1,,,,19
B130228-3,1,1,,,,19
B130302-2,1,1,,,,19
B130304-3,1,1,,,,19
B130307-2,4,2,income,25.0,False,19
B130308-7,1,1,,,,19
B130310-2,1,2,,,,19
B130312-4,1,1,,,,19
B130314-13,1,1,,,,19
B130314-8,1,3,,,,19
B130315-2,1,3,,,,19
B130318-1,1,3,,,,19
B130321-4,1,1,,,,19
B130321-8,3,3,,,,19
B130324-4,4,1,calendar,,False,19
B130325-2,1,2,,,,19
B130327-2,2,1,,,,19
B130327-4,2,2,,,,19
B130328-2,2,1,,,,19
B130330-1,1,1,,,,19
B130402-4,1,1,,,,19
B130402-5,1,1,,,,19
B130403-1,2,2,,,,19
B130404-3,2,1,,,,19
B130404-7,1,2,,,,19
B130404-8,1,1,,,,19
B130408-4,1,1,,,,19
B130409-1,3,1,,,,19
B130415-2,1,1,,,,19
B130415-7,1,1,,,,19
B130417-5,1,1,,,,19
B130422-13,1,2,,,,19
B130423-8,1,3,,,,19
B130425-2,1,2,,,,19
B130426-1,1,1,,,,19
B130426-3,1,3,,,,19
B130426-9,1,1,,,,19
B130502-3,1,2,,,,19
B130506-3,1,1,,,,19
B130507-7,1,1,,,,19
B130508-9,1,1,,,,19
B130512-1,1,1,,,,19
B130513-10,1,2,,,,19
B130513-5,1,1,,,,19
B130517-1,1,1,,,,19
B130520-1,1,1,,,,19
B130520-2,1,1,,,,19
B130525-2,1,1,,,,19
B130525-6,1,1,,,,19
B130527-8,1,1,,,,19
B130530-6,1,1,,,,19
B130531-1,4,1,income,10.0,False,19
B130604-3,3,1,,,,19
B130611-7,1,1,,,,19
B130613-4,1,2,,,,19
B130619-2,3,1,,,,19
B130621-2,1,1,,,,19
B130624-1,1,1,,,,19
B130624-10,1,1,,,,19
B130630-1,1,3,,,,19
B130701-5,1,1,,,,20
B130702-4,1,2,,,,20
B130703-3,1,1,,,,20
B130707-3,1,1,,,,20
B130712-1,4,2,event,,False,20
B130713-1,4,1,income,,False,20
B130715-1,1,1,,,,20
B130717-2,1,1,,,,20
B130717-4,1,1,,,,20
B130720-1,1,1,,,,20
B130722-5,1,1,,,,20
B130804-1,1,2,,,,20
B130805-3,1,2,,,,20
B130806-1,1,1,,,,20
B130808-2,1,4,,,,20
B130809-2,1,1,,,,20
B130813-12,1,1,,,,20
B130813-3,3,1,,,,20
B130814-3,3,3,,,,20
B130814-4,1,2,,,,20
B130819-3,1,1,,,,20
B130819-6,3,2,,,,20
B130820-6,1,1,,,,20
B130822-3,1,1,,,,20
B130824-1,1,2,,,,20
B130827-2,1,3,,,,20
B130829-4,1,1,,,,20
B130905-3,1,3,,,,20
B130909-7,1,1,,,,20
B130910-2,2,2,,,,20
B130910-4,1,1,,,,20
B130910-6,1,2,,,,20
B130910-9,1,3,,,,20
B130912-3,3,2,,,,20
B130914-1,1,3,,,,20
B130915-2,1,1,,,,20
B130917-3,3,1,,,,20
B130921-1,1,1,,,,20
B130923-4,1,1,,,,20
B130926-8,1,1,,,,20
B130930-5,3,1,,,,20
B131002-2,1,2,,,,20
B131004-1,5,1,income,,True,20
B131008-4,1,1,,,,20
B131009-2,1,1,,,,20
B131012-1,5,1,income,25.0,True,20
B131016-3,1,1,,,,20
B131022-4,1,2,,,,20
B131023-4,1,1,,,,20
B131024-1,3,1,,,,20
B131028-1,1,1,,,,20
B131030-3,3,2,,,,20
B131102-1,1,1,,,,20
B131103-11,1,1,,,,20
B131107-4,3,1,,,,20
B131109-2,5,4,income,,True,20
B131119-1,4,1,calendar,1.0,False,20
B131119-4,1,1,,,,20
B131122-6,1,2,,,,20
B131125-2,4,1,income,25.0,False,20
B131129-7,1,1,,,,20
B131201-5,5,1,income,,True,20
B131207-4,1,4,,,,20
B131209-10,1,1,,,,20
B131211-2,1,1,,,,20
B131215-4,1,2,,,,20
B131216-4,1,1,,,,20
B131218-1,1,1,,,,20
B131221-2,1,1,,,,20
B131225-2,1,1,,,,20
B131230-1,1,3,,,,21
B131231-1,1,2,,,,21
B140102-3,1,2,,,,21
B140103-4,1,2,,,,21
B140110-1,3,2,,,,21
B140115-1,1,1,,,,21
B140116-6,1,2,,,,21
B140122-12,1,1,,,,21
B140122-7,1,1,,,,21
B140123-2,1,1,,,,21
B140127-1,1,2,,,,21
B140131-3,1,2,,,,21
B140202-4,1,2,,,,21
B140203-3,1,2,,,,21
B140205-1,1,2,,,,21
B140206-1,1,2,,,,21
B140210-3,4,1,income,,False,21
B140214-3,1,1,,,,21
B140215-2,1,2,,,,21
B140222-2,1,1,,,,21
B140222-3,3,2,,,,21
B140223-1,3,1,,,,21
B140225-12,1,2,,,,21
B140225-5,4,1,income,7.0,False,21
B140227-5,1,1,,,,21
B140305-1,1,1,,,,21
B140306-1,4,1,event,,False,21
B140311-1,1,1,,,,21
B140311-8,4,1,income,25.0,False,21
B140312-2,2,3,,,,21
B140319-4,1,3,,,,21
B140319-5,4,1,income,20.0,False,21
B140320-1,1,1,,,,21
B140325-1,2,1,,,,21
B140325-4,1,2,,,,21
B140327-3,1,2,,,,21
B140401-1,3,4,,,,21
B140408-1,1,1,,,,21
B140408-3,1,2,,,,21
B140414-1,2,1,,,,21
B140414-5,2,3,,,,21
B140415-2,1,2,,,,21
B140417-4,1,1,,,,21
B140421-1,1,4,,,,21
B140422-1,4,1,income,,False,21
B140422-3,1,2,,,,21
B140427-2,1,1,,,,21
B140428-6,1,2,,,,21
B140505-2,1,1,,,,21
B140507-2,1,1,,,,21
B140508-2,1,1,,,,21
B140510-5,1,2,,,,21
B140511-1,1,2,,,,21
B140512-9,1,1,,,,21
B140514-3,1,1,,,,21
B140521-2,1,1,,,,21
B140521-3,1,2,,,,21
B140526-2,1,2,,,,21
B140602-3,3,1,,,,21
B140605-2,1,2,,,,21
B140606-1,1,1,,,,21
B140607-1,4,1,income,,False,21
B140611-2,3,2,,,,21
B140612-2,1,2,,,,21
B140612-5,1,2,,,,21
B140614-1,2,1,,,,21
B140617-1,1,1,,,,21
B140619-3,3,2,,,,21
B140619-4,1,1,,,,21
B140625-6,1,4,,,,21
B140627-5,4,1,income,,False,22
B140701-4,3,1,,,,22
B140701-5,1,1,,,,22
B140707-1,1,2,,,,22
B140707-4,1,1,,,,22
B140708-2,1,2,,,,22
B140711-2,1,1,,,,22
B140714-2,1,1,,,,22
B140714-5,1,1,,,,22
B140717-2,1,1,,,,22
B140718-6,1,3,,,,22
B140725-1,1,1,,,,22
B140802-1,1,1,,,,22
B140803-2,1,1,,,,22
B140806-3,3,4,,,,22
B140808-3,1,1,,,,22
B140813-4,1,1,,,,22
B140819-2,3,3,,,,22
B140823-3,1,2,,,,22
B140827-3,1,1,,,,22
B140902-1,3,1,,,,22
B140912-4,1,3,,,,22
B140914-2,1,2,,,,22
B140915-2,1,1,,,,22
B140917-4,1,1,,,,22
B140926-2,1,1,,,,22
B140927-1,1,1,,,,22
B140929-2,3,1,,,,22
B141006-1,1,1,,,,22
B141007-2,4,1,income,10.0,False,22
B141009-1,1,1,,,,22
B141010-10,1,1,,,,22
B141010-9,1,1,,,,22
B141017-2,1,1,,,,22
B141019-2,1,2,,,,22
B141020-2,1,1,,,,22
B141022-4,3,1,,,,22
B141027-4,1,1,,,,22
B141029-3,1,1,,,,22
B141029-5,1,1,,,,22
B141103-3,1,2,,,,22
B141105-1,5,1,income,25.0,True,22
B141114-1,5,1,calendar,,True,22
B141120-3,1,4,,,,22
B141120-4,1,1,,,,22
B141124-1,3,3,,,,22
B141125-3,3,1,,,,22
B141127-4,1,1,,,,22
B141202-2,3,1,,,,22
B141202-3,1,3,,,,22
B141207-1,1,1,,,,22
B141208-1,1,1,,,,22
B141211-4,1,1,,,,22
B141216-5,1,1,,,,22
B141216-6,1,2,,,,22
B141217-1,1,1,,,,22
B141219-3,1,1,,,,22
B141220-1,1,1,,,,22
B141227-3,4,1,income,25.0,False,22
B141230-4,1,1,,,,22
B150102-3,1,1,,,,22
B150112-3,1,3,,,,22
B150115-8,1,2,,,,22
B150116-6,4,1,income,25.0,False,22
B150118-1,3,1,,,,22
B150120-4,1,1,,,,22
B150124-1,1,1,,,,22
B150128-1,1,2,,,,22
B150129-2,5,1,income,25.0,True,22
B150202-2,1,1,,,,22
B150205-3,1,1,,,,23
B150206-1,1,1,,,,23
B150206-2,1,3,,,,23
B150208-2,1,1,,,,23
B150211-4,2,3,,,,23
B150213-2,5,1,income,,True,23
B150215-1,3,1,,,,23
B150223-4,1,2,,,,23
B150224-2,1,1,,,,23
B150226-5,1,1,,,,23
B150228-1,1,2,,,,23
B150303-1,1,1,,,,23
B150303-5,1,4,,,,23
B150309-1,1,1,,,,23
B150311-3,1,1,,,,23
B150314-1,4,1,event,,False,23
B150317-1,1,2,,,,23
B150325-2,1,2,,,,23
B150330-2,1,1,,,,23
B150401-7,1,3,,,,23
B150414-4,2,1,,,,23
B150414-5,1,2,,,,23
B150415-4,1,3,,,,23
B150420-1,1,1,,,,23
B150421-1,1,4,,,,23
B150423-2,3,1,,,,23
B150423-5,1,2,,,,23
B150424-3,2,1,,,,23
B150430-1,1,2,,,,23
B150504-3,1,1,,,,23
B150506-4,1,1,,,,23
B150507-2,1,2,,,,23
B150511-3,1,2,,,,23
B150513-2,2,3,,,,23
B150515-3,1,2,,,,23
B150519-2,1,1,,,,23
B150521-2,1,1,,,,23
B150525-1,1,1,,,,23
B150527-2,3,1,,,,23
B150528-3,1,1,,,,23
B150529-3,2,1,,,,23
B150602-3,1,1,,,,23
B150605-2,1,1,,,,23
B150608-8,1,1,,,,23
B150611-3,1,2,,,,23
B150617-4,3,2,,,,23
B150618-2,2,1,,,,23
B150619-1,3,1,,,,23
B150621-1,2,1,,,,23
B150622-5,1,1,,,,23
B150623-1,2,1,,,,23
B150623-2,3,1,,,,23
B150702-3,1,1,,,,23
B150707-2,4,1,income,13.0,False,23
B150715-4,4,4,income,25.0,False,23
B150715-8,1,1,,,,23
B150717-2,2,1,,,,23
B150717-4,1,1,,,,23
B150722-1,4,1,income,,False,23
B150728-1,2,1,,,,23
B150728-3,1,2,,,,23
B150730-2,2,2,,,,23
B150730-3,2,1,,,,23
B150808-2,1,1,,,,23
B150811-1,3,1,,,,23
B150812-2,2,1,,,,23
B150819-5,1,1,,,,23
B150821-3,2,1,,,,23
B150821-6,1,1,,,,23
B150822-1,2,2,,,,23
B150823-3,1,2,,,,24
B150827-5,1,1,,,,24
B150901-4,1,1,,,,24
B150904-5,3,1,,,,24
B150905-1,1,1,,,,24
B150907-1,3,1,,,,24
B150907-4,2,4,,,,24
B150908-1,5,1,income,,True,24
B150909-5,1,1,,,,24
B150910-1,1,2,,,,24
B150911-1,1,1,,,,24
B150911-2,1,1,,,,24
B150915-1,1,2,,,,24
B150917-3,1,1,,,,24
B150918-2,1,1,,,,24
B150921-6,1,2,,,,24
B150930-3,3,2,,,,24
B151001-4,1,2,,,,24
B151006-3,1,2,,,,24
B151007-1,1,1,,,,24
B151009-1,1,4,,,,24
B151012-1,3,1,,,,24
B151012-4,1,2,,,,24
B151017-1,1,2,,,,24
B151020-2,1,3,,,,24
B151022-2,3,1,,,,24
B151024-1,1,2,,,,24
B151026-4,1,1,,,,24
B151029-1,4,1,event,,False,24
B151029-5,1,3,,,,24
B151102-6,1,3,,,,24
B151102-7,1,3,,,,24
B151104-2,1,2,,,,24
B151104-5,1,1,,,,24
B151105-2,1,1,,,,24
B151106-4,4,1,calendar,21.0,False,24
B151109-2,1,1,,,,24
B151110-1,1,1,,,,24
B151110-3,3,1,,,,24
B151112-1,2,1,,,,24
B151114-1,1,1,,,,24
B151116-4,1,1,,,,24
B151116-5,1,1,,,,24
B151116-6,1,1,,,,24
B151117-2,1,1,,,,24
B151118-4,1,2,,,,24
B151124-1,1,1,,,,24
B151125-3,3,1,,,,24
B151130-1,1,1,,,,24
B151130-2,1,1,,,,24
B151202-2,4,2,income,,False,24
B151203-1,2,1,,,,24
B151203-3,1,3,,,,24
B151204-1,3,2,,,,24
B151204-5,1,1,,,,24
B151207-1,2,3,,,,24
B151207-2,1,1,,,,24
B151207-3,2,1,,,,24
B151207-4,1,1,,,,24
B151208-1,2,1,,,,24
B151210-4,1,1,,,,24
B151211-1,1,1,,,,24
B151212-1,1,1,,,,24
B151212-2,1,1,,,,24
B151215-1,1,2,,,,24
B151216-2,1,1,,,,24
B151216-5,1,3,,,,24
B151219-2,1,1,,,,24
B151221-1,3,1,,,,24
B151221-2,2,2,,,,24
B151221-3,1,2,,,,25
B151222-2,2,1,,,,25
B151227-1,3,1,,,,25
B151228-3,1,1,,,,25
B151229-1,1,5,,,,25
B160106-2,1,1,,,,25
B160106-3,3,1,,,,25
B160107-1,1,1,,,,25
B160112-1,1,2,,,,25
B160115-2,4,1,income,,False,25
B160117-2,1,1,,,,25
B160118-2,1,2,,,,25
B160119-3,1,1,,,,25
B160120-7,1,2,,,,25
B160120-8,2,1,,,,25
B160121-1,4,1,income,15.0,False,25
B160123-2,1,1,,,,25
B160127-1,1,1,,,,25
B160131-1,2,3,,,,25
B160201-2,2,2,,,,25
B160201-6,1,1,,,,25
B160202-2,1,2,,,,25
B160202-3,1,3,,,,25
B160204-1,1,2,,,,25
B160208-1,1,1,,,,25
B160212-1,1,1,,,,25
B160215-2,1,1,,,,25
B160215-4,1,1,,,,25
B160216-4,1,1,,,,25
B160217-4,2,1,,,,25
B160219-2,1,2,,,,25
B160225-4,1,1,,,,25
B160226-3,1,1,,,,25
B160302-1,4,1,income,25.0,False,25
B160302-2,1,1,,,,25
B160305-1,1,1,,,,25
B160307-4,4,1,income,,False,25
B160310-3,1,1,,,,25
B160315-1,1,1,,,,25
B160316-1,1,1,,,,25
B160316-2,2,1,,,,25
B160317-1,1,1,,,,25
B160320-1,3,1,,,,25
B160321-7,2,3,,,,25
B160322-1,1,2,,,,25
B160323-5,1,1,,,,25
B160328-2,1,1,,,,25
B160407-2,1,1,,,,25
B160413-1,1,1,,,,25
B160417-1,4,2,income,,False,25
B160418-2,1,1,,,,25
B160426-1,1,1,,,,25
B160427-4,4,1,income,17.0,False,25
B160502-4,1,2,,,,25
B160503-5,1,1,,,,25
B160509-4,1,2,,,,25
B160511-6,2,1,,,,25
B160516-4,1,1,,,,25
B160524-3,2,2,,,,25
B160530-4,1,1,,,,25
B160531-4,1,1,,,,25
B160602-2,1,1,,,,25
B160607-4,1,2,,,,25
B160616-1,1,1,,,,25
B160616-5,2,3,,,,25
B160621-3,4,1,income,13.0,False,25
B160622-5,1,1,,,,25
B160627-3,1,1,,,,25
B160701-8,4,1,event,,False,25
B160704-1,1,1,,,,25
B160705-2,1,1,,,,26
B160706-1,1,1,,,,26
B160707-1,1,1,,,,26
B160718-2,2,1,,,,26
B160723-1,2,1,,,,26
B160726-5,1,1,,,,26
B160728-1,3,1,,,,26
B160728-4,3,1,,,,26
B160729-1,4,3,calendar,,False,26
B160809-1,1,1,,,,26
B160809-3,1,1,,,,26
B160812-9,1,1,,,,26
B160816-2,1,2,,,,26
B160818-2,1,3,,,,26
B160819-1,2,1,,,,26
B160819-4,3,1,,,,26
B160820-1,1,1,,,,26
B160822-1,3,1,,,,26
B160825-3,1,3,,,,26
B160826-1,1,1,,,,26
B160906-3,2,2,,,,26
B160915-1,1,3,,,,26
B160918-2,2,1,,,,26
B160918-4,3,3,,,,26
B160919-6,4,1,income,,False,26
B160922-1,1,1,,,,26
B161003-1,2,1,,,,26
B161004-3,1,1,,,,26
B161006-2,1,1,,,,26
B161010-1,2,3,,,,26
B161010-2,2,1,,,,26
B161011-1,1,2,,,,26
B161019-7,2,1,,,,26
B161025-1,1,1,,,,26
B161029-1,1,1,,,,26
B161102-1,1,3,,,,26
B161107-1,1,1,,,,26
B161109-1,1,1,,,,26
B161120-1,4,2,calendar,25.0,False,26
B161124-1,1,1,,,,26
B161216-2,2,1,,,,26
B170103-1,1,1,,,,26
B170106-2,1,1,,,,26
B170111-1,3,2,,,,26
B170112-1,1,1,,,,26
B170120-2,1,1,,,,26
B170130-2,1,1,,,,26
B170201-1,2,1,,,,26
B170202-4,2,1,,,,26
B170204-1,5,1,calendar,,True,26
B170206-3,1,1,,,,26
B170222-1,1,1,,,,26
B170227-2,1,2,,,,26
B170228-2,1,1,,,,26
B170302-2,1,1,,,,26
B170309-2,2,1,,,,26
B170314-1,1,1,,,,26
B170326-1,2,1,,,,26
B170328-2,1,1,,,,26
B170329-3,1,1,,,,26
B170404-1,2,1,,,,26
B170412-3,2,1,,,,26
B170417-1,1,1,,,,26
